Species	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	P082	P083	P084	P085	P086	P087	P088	P089	P090	P091	P092	P093	P094	P095	P096	P097	P098	P099	P100	P101	P102	P103	P104	P105	P106	P107	P108	P109	P110	P111	P112	P113	P114	P115	P116	P117	P118	P119	P120	P121	P122	P123	P124	P125	P126	P127	P128	P129	PrNotRecog
 s__actinomycete_095-35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 s__Acutalibacter_muris	0	97	9	27	0	87	158	156	23	0	0	32	50	62	20	239	64	44	12	122	39	297	54	0	88	0	55	0	50	0	75	74	0	200	17	1719	0	11	96	0	22	211	0	163	203	0	21	0	0	0	74	20	264	135	8	0	60	0	0	126	0	290	266	0	0	33	11	0	110	0	285	0	3	109	35	0	232	66	357	25	111	98	0	97	175	389	279	197	40	0	445	98	430	81	380	62	13	36	16	214	185	558	42	0	8	49	98	105	65	50	0	0	91	82	116	269	75	0	0	26	31	209	165	199	0	106	99	26	324	188
 s__Adlercreutzia_caecicola	0	0	0	115	0	0	0	108	13	0	0	0	0	451	0	0	0	101	0	93	0	0	314	0	0	0	135	0	41	0	0	291	5	0	0	872	0	0	0	75	9	0	0	0	825	0	0	0	34	0	0	0	0	227	16	0	0	53	0	0	0	0	168	0	0	0	61	0	0	0	0	355	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
 s__Adlercreutzia_equolifaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	31	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0
 s__Adlercreutzia_mucosicola	0	0	0	13	0	0	99	125	0	0	0	81	0	0	0	0	108	157	0	0	0	0	0	0	0	85	172	0	0	0	0	0	0	0	181	1186	0	4	0	0	0	213	0	93	499	0	5	0	9	0	270	0	86	153	9	0	0	0	0	147	2	69	130	6	0	0	0	0	185	0	92	164	0	163	81	0	25	0	122	22	167	71	0	45	0	268	72	187	77	0	25	0	79	45	93	20	0	19	0	116	53	175	131	83	0	0	267	0	166	199	60	0	0	326	13	62	217	36	0	0	186	16	89	95	34	0	0	179	12	89
 s__Adlercreutzia_muris	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	86	0	0	0	0	0	0	0	0	56	0	0	0	0	23	0	0	0	90	0	0	0	0	16	0	0	0	76	0	0	0	0	0	53	0	0	3	0	0	0	54	2	0	0	0	0	0	53	4	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	16	10	3	0	0	0	0	50	0	0	2	0	0	0	29	0	0	0	0
 s__Aeromicrobium_camelliae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 s__Akkermansia_muciniphila	4495	4418	3390	3208	0	6608	404	5286	135	0	16602	274	1941	12406	347	4508	188	10570	63	2520	1078	2290	7971	65	9195	1781	13488	11	1875	11	2710	8576	0	6576	1404	26711	12	5586	1765	9001	419	160	241	2928	65028	10	8319	4954	7610	42	560	506	2216	9254	673	7738	2272	3770	2	65	214	1328	12922	12	6143	1442	4557	0	228	13	2386	17155	5	3241	769	368	1985	2474	423	8330	343	1043	1076	873	2449	1250	1920	626	2684	2951	1370	1887	1739	6953	228	44	1790	5140	2601	4043	4423	282	6938	2526	278	4908	5944	4250	891	3707	192	104	291	2497	3253	907	4735	489	1574	39	6180	2590	351	1103	474	69	217	4044	4154	6199
 s__Alicyclobacillus_acidocaldarius	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 s__Alistipes_sp.	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	31	0	0	0	0	0	0	0	174	4	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
